City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Jumla,NP,29.2747,82.1838,63.88,20,0,7.78
212,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,72.27,90,64,2.26
213,Wawa,NG,9.9022,4.4192,79.66,26,5,5.57
214,Pedasi,PA,7.5333,-80.0333,75.07,84,99,6.58
215,Domoni,KM,-12.2569,44.5319,84.92,63,10,2.8
216,Rize,TR,40.9044,40.8949,50.54,41,100,5.77
217,Karup,DK,56.3067,9.1684,33.94,86,100,10.36
218,Cabedelo,BR,-6.9811,-34.8339,72.27,73,8,9.4
219,Rocha,UY,-34.4833,-54.3333,60.19,95,100,12.1
220,Balkhash,KZ,46.844,74.9804,32.61,100,40,6.71
221,Catalina,US,32.5056,-110.9211,57.07,31,97,5.23
222,Pangnirtung,CA,66.1451,-65.7125,4.77,67,100,3.44
223,Kibre Mengist,ET,5.8833,38.9833,71.89,50,50,7.92
224,Cardoso,BR,-20.0819,-49.9142,69.71,80,100,2.48
225,Dimbokro,CI,6.6451,-4.7048,76.86,84,21,2.15
226,Vardo,NO,70.3705,31.1107,39.18,81,75,10.36
227,Morondava,MG,-20.2833,44.2833,81.79,55,0,8.7
228,Ilulissat,GL,69.2167,-51.1,24.82,80,100,2.3
229,Bilma,NE,18.6853,12.9164,70.0,18,100,16.02
230,Bam,IR,29.106,58.357,66.97,18,0,6.06
231,Stromness,GB,58.965,-3.296,40.96,87,100,15.99
232,Kanniyakumari,IN,8.0833,77.5667,83.68,63,11,14.63
233,Grand Gaube,MU,-20.0064,57.6608,84.6,71,0,8.1
234,General Pico,AR,-35.6566,-63.7568,48.49,85,0,4.14
235,Liverpool,GB,53.4106,-2.9779,44.44,95,75,5.75
236,Ormara,PK,25.2088,64.6357,83.98,32,14,10.38
237,Rehoboth,NA,-23.3167,17.0833,74.95,36,5,2.64
238,Grootfontein,NA,-19.5667,18.1167,80.17,39,40,12.66
239,Santa Maria,BR,-29.6842,-53.8069,67.3,94,100,4.61
240,Sokoni,TZ,-6.4333,39.55,87.66,77,21,10.56
241,Araouane,ML,18.9048,-3.5265,64.44,23,100,14.7
242,Cayenne,GF,4.9333,-52.3333,75.24,94,75,2.3
243,Nara,JP,34.6851,135.8049,61.97,48,100,4.41
244,Kaka,TM,37.3482,59.6143,71.29,19,2,5.48
245,Muravlenko,RU,63.7898,74.523,-14.17,96,93,18.81
246,Leh,IN,34.1667,77.5833,23.58,47,0,1.03
247,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,81,75,35.68
248,Kotelnikovo,RU,47.6317,43.1461,57.6,73,100,16.35
249,Nizwa,OM,22.9333,57.5333,81.97,32,5,5.68
250,Cassilandia,BR,-19.1133,-51.7342,69.28,86,100,3.47
251,Asfi,MA,32.2994,-9.2372,61.56,79,56,9.93
252,Garissa,KE,-0.4536,39.6401,86.11,57,54,6.2
253,Lyubech,UA,51.7026,30.6569,26.04,97,66,9.91
254,Maniitsoq,GL,65.4167,-52.9,18.32,84,99,3.65
255,Namibe,AO,-15.1961,12.1522,79.16,67,83,5.61
256,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,9.22
257,Lysyye Gory,RU,51.5506,44.8414,35.87,97,100,11.32
258,Juiz De Fora,BR,-21.7642,-43.3503,63.39,95,100,2.73
259,Scarborough,GB,54.2797,-0.4044,47.91,88,100,3.0
260,Bengkulu,ID,-3.8004,102.2655,82.24,75,6,12.1
261,Tonantins,BR,-2.8731,-67.8022,73.44,98,100,1.83
