City_ID,City,Country,Max Temp,Humidity,Cloudiness,Lat,Lng,Hotel Name
225,Dimbokro,CI,76.86,84,21,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
227,Morondava,MG,81.79,55,0,-20.2833,44.2833,La Case Bambou
229,Bilma,NE,70.0,18,100,18.6853,12.9164,Expeditions Ténére voyages
232,Kanniyakumari,IN,83.68,63,11,8.0833,77.5667,Sparsa Kanyakumari
233,Grand Gaube,MU,84.6,71,0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
236,Ormara,PK,83.98,32,14,25.2088,64.6357,Kenara Colony House for Rent
240,Sokoni,TZ,87.66,77,21,-6.4333,39.55,Ujamaa Beach Resort
242,Cayenne,GF,75.24,94,75,4.9333,-52.3333,Hôtel Le Dronmi
249,Nizwa,OM,81.97,32,5,22.9333,57.5333,Orient Apartments
252,Garissa,KE,86.11,57,54,-0.4536,39.6401,Sharif Plaza Hotel
255,Namibe,AO,79.16,67,83,-15.1961,12.1522,Hotel Chik Chik Namibe
256,Port-Gentil,GA,82.36,83,40,-0.7193,8.7815,Fengshui Residence
260,Bengkulu,ID,82.24,75,6,-3.8004,102.2655,Grage Hotel Bengkulu
261,Tonantins,BR,73.44,98,100,-2.8731,-67.8022,Hotel Hortensias
